tag_id,name
t_ai,ai
t_concrete,concrete
t_doors,doors
t_finance-insurance,finance_insurance
t_fireplace,fireplace
t_hvac,hvac
t_insulation,insulation
t_interior,interior
t_land-mapping,land_mapping
t_modular,modular
t_outdoor,outdoor
t_panel,panel
t_plumbing,plumbing
t_prefabrication,prefabrication
t_railing,railing
t_roofing,roofing
t_security,security
t_smart-home,smart_home
t_software,software
t_stair,stair
t_steel,steel
t_stone,stone
t_windows,windows
t_wood,wood
