segment_id,name
s_business-management-and-professional-services,Business Management & Professional Services
s_building-materials,Building Materials
s_interior-finishings-and-home-living,Interior Finishings & Home Living
s_outdoor-living-leisure-and-modular-structures,"Outdoor Living, Leisure, & Modular Structures"
s_construction-tools-systems-equipment-and-safety,"Construction Tools, Systems, Equipment, & Safety"
s_global-products,Global Products
